CodAsignatura;NomAsignatura;Matriculados;DuracionHoras;NumGrupos;HorasTotales
202W0301;ALGORÍTMICA I;10;5.0;1;5.0
202W0302;ESTADÍSTICA;5;5.0;1;5.0
202W0303;FISICA ELÉCTRONICA;6;4.0;1;4.0
202W0304;INGENIERÍA ECONÓMICA;2;4.0;1;4.0
202W0305;INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;4;4.0;1;4.0
202W0306;MATEMÁTICA BÁSICA;5;5.0;1;5.0
202W0307;ORGANIZACIÓN Y ADMINISTRACIÓN;1;4.0;1;4.0
202W0401;ALGORÍTMICA II;6;5.0;1;5.0
202W0402;CONTABILIDAD PARA LA GESTIÓN;5;4.0;1;4.0
202W0403;INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO;3;4.0;1;4.0
202W0404;MATEMÁTICA DISCRETA;4;4.0;1;4.0
202W0405;PROBABILIDADES;6;4.0;1;4.0
202W0407;SISTEMAS DIGITALES;8;5.0;1;5.0
202W0501;ANÁLISIS Y DISEÑO DE ALGORITMOS;24;4.0;1;4.0
202W0502;ARQUITECTURA DE COMPUTADORAS;20;4.0;1;4.0
202W0503;CALIDAD DE SOFTWARE;15;4.0;1;4.0
202W0504;COMPUTACIÓN VISUAL;15;4.0;1;4.0
202W0505;ESTRUCTURA DE DATOS;16;5.0;1;5.0
202W0506;ECONOMÍA PARA LA GESTIÓN;12;4.0;1;4.0
202W0507;INGENIERÍA DE REQUISITOS;21;5.0;1;5.0
202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE;7;4.0;1;4.0
202W0602;BASE DE DATOS I;20;5.0;1;5.0
202W0603;DISEÑO DE SOFTWARE;18;5.0;1;5.0
202W0604;FORMACIÓN DE EMPRESAS DE SOFTWARE;31;4.0;1;4.0
202W0605;GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE;13;5.0;1;5.0
202W0606;INTERACCIÓN HOMBRE COMPUTADOR;16;4.0;1;4.0
202W0607;SISTEMAS OPERATIVOS;15;4.0;1;4.0
202W0701;ARQUITECTURA DE SOFTWARE;71;5.0;2;10.0
202W0702;BASE DE DATOS II;95;5.0;2;10.0
202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD;85;4.0;2;8.0
202W0704;GESTIÓN DE PROYECTO DE SOFTWARE;51;4.0;1;4.0
202W0705;INTELIGENCIA ARTIFICIAL;104;4.0;2;8.0
202W0706;MÉTODOS FORMALES PARA PRUEBAS;111;4.0;2;8.0
202W0707;REDES Y TRANSMISIÓN DE DATOS;84;4.0;2;8.0
202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;44;4.0;1;4.0
202W0802;INTELIGENCIA DE NEGOCIOS;20;4.0;1;4.0
202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;22;3.0;1;3.0
202W0804;MINERÍA DE DATOS;18;4.0;1;4.0
202W0805;PROGRAMACIÓN CONCURRENTE Y PARALELA;15;4.0;1;4.0
202W0806;SEGURIDAD DEL SOFTWARE;29;4.0;1;4.0
202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;14;4.0;1;4.0
202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;18;4.0;1;4.0
202W0901;DESARROLLO DE TESIS I;90;3.0;2;6.0
202W0902;GARANTÍA DE SOFTWARE;107;4.0;2;8.0
202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;71;4.0;2;8.0
202W0904;GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;62;4.0;2;8.0
202W0905;GESTIÓN DE RIESGO DEL SOFTWARE;100;4.0;2;8.0
202W0906;INTERNET DE LAS COSAS;73;4.0;2;8.0
202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;65;4.0;2;8.0
202W0908;SOFTWARE INTELIGENTE;92;4.0;2;8.0
202W1001;ANALÍTICA DE DATOS;20;4.0;1;4.0
202W1002;DESARROLLO DE TESIS II;38;3.0;1;3.0
202W1003;PRÁCTICA PRE PROFESIONAL;42;6.0;1;6.0
202W1004;TALLER DE APLICACIONES SOCIALES;36;5.0;1;5.0
202W1005;TENDENCIAS DE ARQUITECTURA DE SOFTWARE;31;4.0;1;4.0
202W1006;TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;43;4.0;1;4.0
INE002;PROGRAMACIÓN Y COMPUTACIÓN;9;3.0;1;3.0
INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;4;4.0;1;4.0
INO102;MÉTODOS DE ESTUDIO UNIVERSITARIO;1;3.0;1;3.0
INO103;DESARROLLO PERSONAL Y LIDERAZGO;1;3.0;1;3.0
INO106;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;3;6.0;1;6.0
INO204;CÁLCULO II;2;6.0;1;6.0
INO205;FÍSICA I;1;5.0;1;5.0
