NomAsignatura;DuracionHoras;Ciclo;CodAsignatura
ALGORÍTMICA I;5.0;3;202W0301
ALGORÍTMICA I;3.0;3;202W0301
ESTADÍSTICA;5.0;3;202W0302
FISICA ELÉCTRONICA;4.0;3;202W0303
INGENIERÍA ECONÓMICA;4.0;3;202W0304
INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;4.0;3;202W0305
MATEMÁTICA BÁSICA;5.0;3;202W0306
ORGANIZACIÓN Y ADMINISTRACIÓN;4.0;3;202W0307
ALGORÍTMICA II;5.0;4;202W0401
CONTABILIDAD PARA LA GESTIÓN;4.0;4;202W0402
INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO;4.0;4;202W0403
MATEMÁTICA DISCRETA;4.0;4;202W0404
PROBABILIDADES;4.0;4;202W0405
SISTEMAS DIGITALES;5.0;4;202W0407
ANÁLISIS Y DISEÑO DE ALGORITMOS;4.0;5;202W0501
ARQUITECTURA DE COMPUTADORAS;4.0;5;202W0502
CALIDAD DE SOFTWARE;4.0;5;202W0503
COMPUTACIÓN VISUAL;4.0;5;202W0504
ESTRUCTURA DE DATOS;5.0;5;202W0505
ECONOMÍA PARA LA GESTIÓN;4.0;5;202W0506
INGENIERÍA DE REQUISITOS;3.0;5;202W0507
INGENIERÍA DE REQUISITOS;5.0;5;202W0507
ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE;4.0;6;202W0601
BASE DE DATOS I;5.0;6;202W0602
DISEÑO DE SOFTWARE;5.0;6;202W0603
FORMACIÓN DE EMPRESAS DE SOFTWARE;4.0;6;202W0604
GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE;5.0;6;202W0605
INTERACCIÓN HOMBRE COMPUTADOR;4.0;6;202W0606
SISTEMAS OPERATIVOS;4.0;6;202W0607
ARQUITECTURA DE SOFTWARE;5.0;7;202W0701
BASE DE DATOS II;5.0;7;202W0702
EXPERIENCIA DE USUARIO Y USABILIDAD;4.0;7;202W0703
GESTIÓN DE PROYECTO DE SOFTWARE;4.0;7;202W0704
INTELIGENCIA ARTIFICIAL;4.0;7;202W0705
MÉTODOS FORMALES PARA PRUEBAS;4.0;7;202W0706
REDES Y TRANSMISIÓN DE DATOS;4.0;7;202W0707
AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;4.0;8;202W0801
INTELIGENCIA DE NEGOCIOS;4.0;8;202W0802
METODOLOGÍA DE LA INVESTIGACIÓN;3.0;8;202W0803
MINERÍA DE DATOS;4.0;8;202W0804
PROGRAMACIÓN CONCURRENTE Y PARALELA;4.0;8;202W0805
SEGURIDAD DEL SOFTWARE;4.0;8;202W0806
TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;4.0;8;202W0807
VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;4.0;8;202W0808
DESARROLLO DE TESIS I;3.0;9;202W0901
GARANTÍA DE SOFTWARE;4.0;9;202W0902
GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;4.0;9;202W0903
GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;4.0;9;202W0904
GESTIÓN DE RIESGO DEL SOFTWARE;4.0;9;202W0905
INTERNET DE LAS COSAS;4.0;9;202W0906
TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;4.0;9;202W0907
SOFTWARE INTELIGENTE;4.0;9;202W0908
ANALÍTICA DE DATOS;4.0;10;202W1001
DESARROLLO DE TESIS II;3.0;10;202W1002
PRÁCTICA PRE PROFESIONAL;6.0;10;202W1003
TALLER DE APLICACIONES SOCIALES;5.0;10;202W1004
TENDENCIAS DE ARQUITECTURA DE SOFTWARE;4.0;10;202W1005
TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;4.0;10;202W1006
PROGRAMACIÓN Y COMPUTACIÓN;3.0;1;INE002
REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;4.0;1;INO101
MÉTODOS DE ESTUDIO UNIVERSITARIO;3.0;1;INO102
DESARROLLO PERSONAL Y LIDERAZGO;3.0;1;INO103
ÁLGEBRA Y GEOMETRÍA ANALÍTICA;6.0;1;INO106
CÁLCULO II;6.0;2;INO204
FÍSICA I;5.0;2;INO205
