CodAsignatura;NomAsignatura;Créditos;Matriculados
INE002;PROGRAMACIÓN Y COMPUTACIÓN;2.0;18
INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;3.0;8
INO102;MÉTODOS DE ESTUDIO UNIVERSITARIO;2.0;2
INO103;DESARROLLO PERSONAL Y LIDERAZGO;2.0;2
INO106;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;4.0;6
INO204;CÁLCULO II;4.0;4
INO205;FÍSICA I;4.0;2
202W0301;ALGORÍTMICA I;4.0;20
202W0302;ESTADÍSTICA;3.0;10
202W0303;FISICA ELÉCTRONICA;3.0;12
202W0304;INGENIERÍA ECONÓMICA;3.0;4
202W0305;INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;3.0;8
202W0306;MATEMÁTICA BÁSICA;4.0;10
202W0307;ORGANIZACIÓN Y ADMINISTRACIÓN;3.0;2
202W0401;ALGORÍTMICA II;4.0;12
202W0402;CONTABILIDAD PARA LA GESTIÓN;3.0;10
202W0403;INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO;3.0;6
202W0404;MATEMÁTICA DISCRETA;3.0;8
202W0405;PROBABILIDADES;3.0;12
202W0407;SISTEMAS DIGITALES;3.0;16
202W0501;ANÁLISIS Y DISEÑO DE ALGORITMOS;3.0;48
202W0502;ARQUITECTURA DE COMPUTADORAS;3.0;40
202W0503;CALIDAD DE SOFTWARE;3.0;30
202W0504;COMPUTACIÓN VISUAL;3.0;30
202W0505;ESTRUCTURA DE DATOS;4.0;32
202W0506;ECONOMÍA PARA LA GESTIÓN;3.0;24
202W0507;INGENIERÍA DE REQUISITOS;4.0;42
202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE;3.0;14
202W0602;BASE DE DATOS I;4.0;40
202W0603;DISEÑO DE SOFTWARE;4.0;36
202W0604;FORMACIÓN DE EMPRESAS DE SOFTWARE;3.0;62
202W0605;GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE;3.0;26
202W0606;INTERACCIÓN HOMBRE COMPUTADOR;3.0;32
202W0607;SISTEMAS OPERATIVOS;3.0;30
202W0701;ARQUITECTURA DE SOFTWARE;4.0;142
202W0702;BASE DE DATOS II;4.0;190
202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD;3.0;170
202W0704;GESTIÓN DE PROYECTO DE SOFTWARE;3.0;102
202W0705;INTELIGENCIA ARTIFICIAL;3.0;208
202W0706;MÉTODOS FORMALES PARA PRUEBAS;3.0;222
202W0707;REDES Y TRANSMISIÓN DE DATOS;3.0;168
202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;3.0;88
202W0802;INTELIGENCIA DE NEGOCIOS;3.0;40
202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;2.0;44
202W0804;MINERÍA DE DATOS;3.0;36
202W0805;PROGRAMACIÓN CONCURRENTE Y PARALELA;3.0;30
202W0806;SEGURIDAD DEL SOFTWARE;3.0;58
202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;3.0;28
202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;3.0;36
202W0901;DESARROLLO DE TESIS I;2.0;180
202W0902;GARANTÍA DE SOFTWARE;3.0;214
202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;3.0;142
202W0904;GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;3.0;124
202W0905;GESTIÓN DE RIESGO DEL SOFTWARE;3.0;200
202W0906;INTERNET DE LAS COSAS;3.0;146
202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;3.0;130
202W0908;SOFTWARE INTELIGENTE;3.0;184
202W1001;ANALÍTICA DE DATOS;3.0;40
202W1002;DESARROLLO DE TESIS II;2.0;76
202W1003;PRÁCTICA PRE PROFESIONAL;4.0;84
202W1004;TALLER DE APLICACIONES SOCIALES;3.0;72
202W1005;TENDENCIAS DE ARQUITECTURA DE SOFTWARE;3.0;62
202W1006;TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;3.0;86
