Asignatura,Escuela,CodDocente
CONTABILIDAD PARA LA GESTIÓN,EP. SISTEMAS,41388541
CONTABILIDAD PARA LA GESTIÓN,EP. SISTEMAS,41388541
CONTABILIDAD PARA LA GESTIÓN,EP.SOFTWARE,41388541
CONTABILIDAD PARA LA GESTIÓN,EP. CIENCIA DE LA COMPUTACIÓN,41388541
SISTEMAS DIGITALES,EP. SISTEMAS,095699 
SISTEMAS DIGITALES,EP. SISTEMAS,095699 
SISTEMAS DIGITALES,EP.SOFTWARE,095699 
SISTEMAS DIGITALES,EP. CIENCIA DE LA COMPUTACIÓN,095699 
"INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO",EP. SISTEMAS,0A4524
"INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO",EP. SISTEMAS,0A4524
"INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO",EP.SOFTWARE,0A4524
"INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO",EP. CIENCIA DE LA COMPUTACIÓN,0A4524
PROBABILIDADES,EP. SISTEMAS,043788 
PROBABILIDADES,EP. SISTEMAS,043788 
PROBABILIDADES,EP.SOFTWARE,043788 
PROBABILIDADES,EP. CIENCIA DE LA COMPUTACIÓN,043788 
ALGORÍTMICA II,EP. SISTEMAS,95753
ALGORÍTMICA II,EP. SISTEMAS,95753
ALGORÍTMICA II,EP.SOFTWARE,95753
ALGORÍTMICA II,EP. CIENCIA DE LA COMPUTACIÓN,95753
METODOLOGIA DE LA ELABORACIÒN DE LA TESIS,EP. SISTEMAS,0A1610
MATEMATICA DISCRETA,EP. SISTEMAS,0A1610
MATEMATICA DISCRETA,EP.SOFTWARE,0A1610
ESTRUCTURAS  DISCRETAS,EP. CIENCIA DE LA COMPUTACIÓN,0A1610
